owner_id,apartment_id,name,email,phone,ownership_percentage,is_primary,id_type,id_number,bank_account
20,12,Owner 20,owner20@example.com,0576-477-6867,100.0,True,Passport,4015782,AE303790400758148943
21,13,Owner 21,owner21@example.com,0516-298-3727,33.33,True,Emirates ID,3927710,AE439874930423252601
22,13,Owner 22,owner22@example.com,0510-598-1875,33.33,False,Driving License,1965091,AE668044595550070083
23,13,Owner 23,owner23@example.com,0534-236-4082,33.33,False,Emirates ID,8741662,AE529003324295992701
24,14,Owner 24,owner24@example.com,0533-901-1378,50.0,True,Emirates ID,9516518,AE313424846460963129
25,14,Owner 25,owner25@example.com,0539-707-9043,50.0,False,Passport,9143676,AE974719769768335099
26,15,Owner 26,owner26@example.com,0599-132-3422,100.0,True,Driving License,5670301,AE855661140003616023
27,16,Owner 27,owner27@example.com,0548-866-1020,50.0,True,Emirates ID,9757200,AE335483942017169733
28,16,Owner 28,owner28@example.com,0538-899-9636,50.0,False,Driving License,8043349,AE878016605643216171
29,17,Owner 29,owner29@example.com,0521-417-2421,100.0,True,Passport,5536244,AE307886128421504282
30,18,Owner 30,owner30@example.com,0535-746-6038,50.0,True,Driving License,2899679,AE511039584946169893
31,18,Owner 31,owner31@example.com,0577-443-2981,50.0,False,Emirates ID,6004841,AE237566501598977006
32,19,Owner 32,owner32@example.com,0548-715-7444,50.0,True,Emirates ID,3733775,AE532042962284149780
33,19,Owner 33,owner33@example.com,0565-472-3966,50.0,False,Driving License,2772057,AE767616432957035575
34,20,Owner 34,owner34@example.com,0527-837-9116,100.0,True,Driving License,8317048,AE399881040198480971
35,21,Owner 35,owner35@example.com,0567-100-2198,100.0,True,Driving License,7237694,AE292565807965820615
36,22,Owner 36,owner36@example.com,0520-992-7726,100.0,True,Passport,3133116,AE515971323364507222
37,23,Owner 37,owner37@example.com,0582-493-8558,100.0,True,Passport,9949839,AE302528640804179537
38,24,Owner 38,owner38@example.com,0587-269-2285,50.0,True,Passport,8574289,AE406570155836467346
39,24,Owner 39,owner39@example.com,0535-545-1773,50.0,False,Passport,1014111,AE349544298333615242
40,25,Owner 40,owner40@example.com,0543-620-9513,100.0,True,Passport,9453281,AE503594870231095291
41,26,Owner 41,owner41@example.com,0562-148-3143,33.33,True,Emirates ID,8828446,AE565812644575626201
42,26,Owner 42,owner42@example.com,0592-514-4747,33.33,False,Passport,1524761,AE360937194787803456
43,26,Owner 43,owner43@example.com,0520-482-1661,33.33,False,Passport,1846309,AE199849400704341574
44,27,Owner 44,owner44@example.com,0541-541-8048,50.0,True,Emirates ID,6369598,AE644333204146575970
45,27,Owner 45,owner45@example.com,0517-204-9428,50.0,False,Passport,4092934,AE993618506188709816
46,28,Owner 46,owner46@example.com,0535-514-8599,50.0,True,Passport,2485798,AE262133753201843905
47,28,Owner 47,owner47@example.com,0565-637-7205,50.0,False,Passport,6988210,AE357323798429534467
48,29,Owner 48,owner48@example.com,0561-312-2224,100.0,True,Emirates ID,9461823,AE340476483135703841
49,30,Owner 49,owner49@example.com,0534-665-2407,100.0,True,Driving License,8087158,AE387908852063635758
50,31,Owner 50,owner50@example.com,0576-186-5705,33.33,True,Driving License,6908564,AE892329908371204081
51,31,Owner 51,owner51@example.com,0523-971-1805,33.33,False,Passport,5276390,AE989982069403829777
52,31,Owner 52,owner52@example.com,0566-887-8067,33.33,False,Emirates ID,1492203,AE777637809775757322
53,32,Owner 53,owner53@example.com,0526-539-5721,50.0,True,Emirates ID,1084025,AE108967793453760406
54,32,Owner 54,owner54@example.com,0570-926-7967,50.0,False,Passport,9102595,AE601041507139517377
55,33,Owner 55,owner55@example.com,0561-465-9710,33.33,True,Emirates ID,3582906,AE172301084790300548
56,33,Owner 56,owner56@example.com,0519-306-9900,33.33,False,Passport,7917677,AE474355408600990858
57,33,Owner 57,owner57@example.com,0562-683-9839,33.33,False,Driving License,8527641,AE229356975858371755
58,34,Owner 58,owner58@example.com,0537-931-4512,100.0,True,Emirates ID,2008681,AE680568446931614250
59,35,Owner 59,owner59@example.com,0562-581-4974,50.0,True,Passport,9811238,AE221994004307421893
60,35,Owner 60,owner60@example.com,0517-714-6978,50.0,False,Emirates ID,1833885,AE280869699429882899
61,36,Owner 61,owner61@example.com,0539-870-4390,100.0,True,Emirates ID,8212007,AE464305136391508506
62,37,Owner 62,owner62@example.com,0552-248-4415,100.0,True,Driving License,2514242,AE783055153577389439
63,38,Owner 63,owner63@example.com,0589-427-4731,50.0,True,Emirates ID,8287116,AE469568754815081509
64,38,Owner 64,owner64@example.com,0580-583-4052,50.0,False,Emirates ID,1248186,AE232975198414450505
65,39,Owner 65,owner65@example.com,0514-176-7064,100.0,True,Driving License,4764711,AE738464134143330227
66,40,Owner 66,owner66@example.com,0569-292-9410,33.33,True,Emirates ID,6942963,AE546614768129870527
67,40,Owner 67,owner67@example.com,0532-395-3947,33.33,False,Passport,4183464,AE964211321768766592
68,40,Owner 68,owner68@example.com,0565-338-9109,33.33,False,Passport,3947382,AE544206262676879000
69,41,Owner 69,owner69@example.com,0513-636-8381,100.0,True,Emirates ID,4983218,AE485631173014711828
70,42,Owner 70,owner70@example.com,0547-843-7401,33.33,True,Driving License,3241152,AE761742491540163266
71,42,Owner 71,owner71@example.com,0553-667-1042,33.33,False,Driving License,6158543,AE104603079675704789
72,42,Owner 72,owner72@example.com,0522-418-3954,33.33,False,Passport,2190548,AE780803339392348287
73,43,Owner 73,owner73@example.com,0592-362-2549,100.0,True,Passport,2427638,AE699592278886045325
74,44,Owner 74,owner74@example.com,0594-680-8033,100.0,True,Emirates ID,3195618,AE122152909666245994
75,45,Owner 75,owner75@example.com,0550-845-9052,100.0,True,Driving License,6035758,AE611530147622398063
76,46,Owner 76,owner76@example.com,0538-305-5460,100.0,True,Emirates ID,7578085,AE453425608390513509
77,47,Owner 77,owner77@example.com,0533-697-7152,100.0,True,Driving License,1086109,AE712551293814950432
78,48,Owner 78,owner78@example.com,0585-199-7875,100.0,True,Passport,6708772,AE380385343334917868
79,49,Owner 79,owner79@example.com,0551-370-9866,50.0,True,Emirates ID,4913887,AE134734229803299216
80,49,Owner 80,owner80@example.com,0521-372-8061,50.0,False,Passport,4424364,AE182047211240007886
81,50,Owner 81,owner81@example.com,0537-512-7834,50.0,True,Passport,1575581,AE517579780558045589
82,50,Owner 82,owner82@example.com,0550-336-8475,50.0,False,Emirates ID,9095655,AE217758520027299253
